Test,Test No.,Item,Result,Units,Variant,Syringe
Undelivered Volume,1,1,0.039823894,ml,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Undelivered Volume,1,2,0.017610566,ml,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Undelivered Volume,1,3,0.012207324,ml,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Undelivered Volume,1,4,0.022313388,ml,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Undelivered Volume,1,5,0.023714229,ml,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Undelivered Volume,1,6,0.008605163,ml,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Undelivered Volume,1,7,0.012307384,ml,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Undelivered Volume,1,8,0.017510506,ml,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Undelivered Volume,1,9,0.014508705,ml,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Undelivered Volume,1,10,0.010006004,ml,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Undelivered Volume,1,11,0.014908945,ml,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Undelivered Volume,1,12,0.013107865,ml,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Undelivered Volume,1,13,0.014908945,ml,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Undelivered Volume,1,14,0.023914349,ml,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Undelivered Volume,1,15,0.019311587,ml,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Undelivered Volume,1,16,0.011206724,ml,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Undelivered Volume,1,17,0.053632179,ml,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Undelivered Volume,1,18,0.017210326,ml,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Undelivered Volume,1,19,0.011807084,ml,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Undelivered Volume,1,20,0.010406244,ml,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Undelivered Volume,1,21,0.009305583,ml,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Undelivered Volume,1,22,0.014608765,ml,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Undelivered Volume,1,23,0.019111467,ml,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Undelivered Volume,1,24,0.015809486,ml,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Undelivered Volume,1,25,0.010406244,ml,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Undelivered Volume,1,26,0.007704623,ml,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Undelivered Volume,1,27,0.011807084,ml,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Undelivered Volume,1,28,0.007304383,ml,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Undelivered Volume,1,29,0.009105463,ml,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Undelivered Volume,1,30,0.016710026,ml,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Undelivered Volume,1,31,0.008304983,ml,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Undelivered Volume,1,32,0.014108465,ml,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Undelivered Volume,1,33,0.008905343,ml,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Undelivered Volume,1,34,0.010706424,ml,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Undelivered Volume,1,35,0.014108465,ml,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Undelivered Volume,1,36,0.020612367,ml,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Undelivered Volume,1,37,0.005503302,ml,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Undelivered Volume,1,38,0.014508705,ml,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Undelivered Volume,1,39,0.017410446,ml,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Undelivered Volume,1,40,0.010106064,ml,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Undelivered Volume,1,41,0.009605763,ml,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Undelivered Volume,1,42,0.012607565,ml,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Undelivered Volume,1,43,0.009605763,ml,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Undelivered Volume,1,44,0.014208525,ml,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Undelivered Volume,1,45,0.010706424,ml,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Undelivered Volume,1,46,0.007004203,ml,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Undelivered Volume,1,47,0.010806484,ml,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Undelivered Volume,1,48,0.011406844,ml,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Undelivered Volume,1,49,0.012807685,ml,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Undelivered Volume,1,50,0.009805884,ml,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Undelivered Volume,1,51,0.012407444,ml,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Undelivered Volume,1,52,0.015709426,ml,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Undelivered Volume,1,53,0.013908345,ml,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Undelivered Volume,1,54,0.010106064,ml,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Undelivered Volume,1,55,0.014208525,ml,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Undelivered Volume,1,56,0.012307384,ml,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
Undelivered Volume,1,57,0.010206124,ml,N/A,29G Gerresheimer RTF 1ml<br>with West 4023/50 Stopper
